,날짜,관광지명,관광객수
746,2010.03,소인국테마파크,58650
747,2010.03,신영영화박물관,6580
748,2010.03,아프리카박물관,6535
749,2010.03,여미지식물원,73912
750,2010.03,이중섭미술관,6546
751,2010.03,익스트림 아일랜드,0
752,2010.03,일출랜드,68663
753,2010.03,정방폭포,30723
754,2010.03,제주민속촌박물관,39071
755,2010.03,제주조각공원,1697
756,2010.03,제주추사관,0
757,2010.03,중문주상절리대,109514
758,2010.03,천제연폭포,32265
759,2010.03,천지연폭포,124219
760,2010.03,카멜리아힐,0
761,2010.03,테디베어뮤지엄,31567
762,2010.03,퍼시픽랜드,35029
763,2010.03,아쿠아플라넷,0
764,2010.03,화락원,0
765,2010.04,(주)제주미니미니랜드,31802
766,2010.04,국립제주박물관,44011
767,2010.04,도립미술관,0
768,2010.04,만장굴관광지,37940
769,2010.04,목석원,0
770,2010.04,민속자연사박물관,143446
771,2010.04,비자림,15688
772,2010.04,산굼부리,81641
773,2010.04,삼성혈,8288
774,2010.04,삼양선사유적지,3325
775,2010.04,생각하는 정원,15383
776,2010.04,절물자연휴양림,58857
777,2010.04,제주도립 김창열미술관,0
778,2010.04,제주돌문화공원,19803
779,2010.04,제주러브랜드,72364
780,2010.04,제주목관아지,10356
781,2010.04,제주별빛누리공원,2121
782,2010.04,제주항일기념관,8569
783,2010.04,한라산국립공원,101713
784,2010.04,한림공원,134246
785,2010.04,항몽 유적지,16324
786,2010.04,해녀 박물관,27176
787,2010.04,감귤박물관,7025
788,2010.04,기당미술관,482
789,2010.04,마라해양도립공원,46487
